,Vacancy,Salary min,Salary max,Currency,Link,Site,Employer,Place
18,Ведущий программист C/C++,,170000.0,руб.,https://russia.superjob.ru/vakansii/vakansii/veduschij-programmist-c-43456757.html,superjob.ru,Московский завод тепловой автоматики,Москва • Измайлово и ещё 2 станции
19,Разработчик / Специалист по автоматизации,,,,https://russia.superjob.ru/vakansii/vakansii/razrabotchik-43619468.html,superjob.ru,"МАГНИТ, Розничная сеть",Краснодар
20,Web Developer,,,,https://russia.superjob.ru/vakansii/vakansii/web-developer-43582301.html,superjob.ru,Технопарк «Сколково»,Москва
21,Программист-математик,,200000.0,руб.,https://russia.superjob.ru/vakansii/vakansii/programmist-matematik-41872154.html,superjob.ru,Арт-Рекрутинг,Санкт-Петербург
22,Solidity Developer,,,,https://russia.superjob.ru/vakansii/vakansii/solidity-developer-43577247.html,superjob.ru,Звездин Илья Сергеевич,Москва
23,Программист 1С,200000.0,250000.0,руб.,https://russia.superjob.ru/vakansii/vakansii/programmist-1s-39215921.html,superjob.ru,Зоостандарт,Москва • Южная
24,Senior NodeJS Developer,,,,https://russia.superjob.ru/vakansii/vakansii/senior-nodejs-developer-43645800.html,superjob.ru,Involta,Иваново
25,Data scientist / Исследователь-программист данных,115000.0,172000.0,руб.,https://russia.superjob.ru/vakansii/vakansii/data-scientist-43643622.html,superjob.ru,Московский завод тепловой автоматики,Москва
26,Backend-разработчик,150000.0,,руб.,https://russia.superjob.ru/vakansii/vakansii/backend-razrabotchik-43716815.html,superjob.ru,РМЦ информации и технологий,Ростов-на-Дону
27,Rust Developer,170000.0,,руб.,https://russia.superjob.ru/vakansii/vakansii/rust-developer-43540686.html,superjob.ru,IT Solutions Management International,Москва
28,PHP developer,150000.0,230000.0,руб.,https://russia.superjob.ru/vakansii/vakansii/php-developer-43709145.html,superjob.ru,Modesco,Москва
29,Инженер-программист,80000.0,,руб.,https://russia.superjob.ru/vakansii/vakansii/inzhener-programmist-34431159.html,superjob.ru,"""Концерн ""Автоматика""",Санкт-Петербург • Площадь Александра Невского 1 и ещё 2 станции
30,Программист Machine learning,,,,https://russia.superjob.ru/vakansii/vakansii/programmist-machine-learning-43695788.html,superjob.ru,"НИЦ ""Резонанс""",Тверь
31,Разработчик ПО под Linux / Системный администратор Linux,100000.0,,руб.,https://russia.superjob.ru/vakansii/vakansii/razrabotchik-po-pod-linux-43792310.html,superjob.ru,Радиофид,"Санкт-Петербург • Озерки, Проспект Просвещения"
32,"Программист, Team Leader C/C++",,100000.0,руб.,https://russia.superjob.ru/vakansii/vakansii/programmist-43527240.html,superjob.ru,Торговый Дом Новые Электронные Технологии,Азов
33,Программист-разработчик,50000.0,,руб.,https://russia.superjob.ru/vakansii/vakansii/programmist-razrabotchik-32041070.html,superjob.ru,,Волгоград
34,Инженер-программист,,,руб.,https://russia.superjob.ru/vakansii/vakansii/inzhener-programmist-43503556.html,superjob.ru,УГИБДД УМВД России по Астраханской области,Астрахань
35,Разработчик БД,,130000.0,руб.,https://russia.superjob.ru/vakansii/vakansii/razrabotchik-bd-42492143.html,superjob.ru,Ладога Дистрибьюшен,Санкт-Петербург • Звёздная
36,IOS разработчик,,,,https://russia.superjob.ru/vakansii/vakansii/ios-razrabotchik-43316327.html,superjob.ru,Поток,Совхоз им. Ленина
37,Backend Developer,,,,https://russia.superjob.ru/vakansii/vakansii/backend-developer-43582299.html,superjob.ru,Технопарк «Сколково»,Москва
38,Backend developer,,,,https://russia.superjob.ru/vakansii/vakansii/backend-developer-43582254.html,superjob.ru,Технопарк «Сколково»,"Новосибирск • Площадь Маркса, Студенческая"
