,Vacancy,Salary min,Salary max,Currency,Link,Site,Employer,Place
265,Ведущий разработчик Power BI/ Senior Power BI Developer,150000.0,,руб.,https://hh.ru/vacancy/66979368?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,hh.ru,"ООО Бристоль, сеть магазинов",Москва
266,Senior С# (Unity) Developer,,,,https://hh.ru/vacancy/52695556?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,hh.ru,Sitronics KT,"Санкт-Петербург, Василеостровская"
267,C/С++ developer (embedded),,,,https://hh.ru/vacancy/66706481?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,hh.ru,ЗАО ИСТ,"Санкт-Петербург, Василеостровская и еще 1 "
268,Frontend Senior Developer (vue.js),,300000.0,руб.,https://hh.ru/vacancy/67444554?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,hh.ru,Финэктор Групп,Москва
269,Python-разработчик,30000.0,60000.0,руб.,https://hh.ru/vacancy/67034942?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,hh.ru,BrandPol Group,Екатеринбург
270,Разработчик Python (Middle+),90000.0,160000.0,руб.,https://hh.ru/vacancy/67353953?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,hh.ru,Maspalla,Москва
271,Разработчик Python,,,,https://hh.ru/vacancy/67284196?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,hh.ru,Bauart Group,Красноярск
272,Программист разработчик SQL (SQL Developer),90000.0,150000.0,руб.,https://hh.ru/vacancy/67020807?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,hh.ru,ООО Управляющая компания Яр-Групп,"Самара, Гагаринская"
273,Программист С++,,350000.0,руб.,https://hh.ru/vacancy/67248981?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,hh.ru,Адалиск,Москва
274,Frontend-разработчик (Vue.js),130000.0,,руб.,https://hh.ru/vacancy/67171299?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,hh.ru,Tashir Estate,"Москва, Новые Черемушки"
275,Программист-стажер 1С,25000.0,,руб.,https://hh.ru/vacancy/46683160?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,hh.ru,РС Консалт,Омск
276,Junior C++ разработчик алгоритмов геометрического моделирования,40000.0,70000.0,руб.,https://hh.ru/vacancy/67404828?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,hh.ru,ЗАО Ледас,Новосибирск
277,Разработчик Python,,,,https://hh.ru/vacancy/66619965?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,hh.ru,ООО Global Ports Management,Санкт-Петербург
278,Программист 1С,90000.0,150000.0,руб.,https://hh.ru/vacancy/48071291?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,hh.ru,DNS Головной офис,Иркутск
279,"Программист C++ (Linux, виртуализация)",,,,https://hh.ru/vacancy/66679558?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,hh.ru,Конфидент,Санкт-Петербург
280,Программист прикладного ПО (C#/C++),,,,https://hh.ru/vacancy/66762932?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,hh.ru,ООО ПромЭнерго,Казань
281,Senior Bi&DWH developer,4000.0,,USD,https://hh.ru/vacancy/55584180?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,hh.ru,Finstar Financial Group,Санкт-Петербург
282,Разработчик,,,,https://hh.ru/vacancy/67155075?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,hh.ru,Северсталь. Сервисные компании,Нижний Новгород
283,Разработчик,,,,https://hh.ru/vacancy/67155114?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,hh.ru,Северсталь. Сервисные компании,Самара
284,Разработчик,,,,https://hh.ru/vacancy/67155088?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,hh.ru,Северсталь. Сервисные компании,Казань
285,Разработчик,,,,https://hh.ru/vacancy/67074202?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,hh.ru,Северсталь. Сервисные компании,Ярославль
286,.NET developer,,,,https://hh.ru/vacancy/67144953?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,hh.ru,ООО Смартвэй,Саратов
287,BIM программист,,,,https://hh.ru/vacancy/67358078?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,hh.ru,ООО СТБ Проект,"Москва, Курская и еще 1 "
288,Инженер разработчик компиляторов/симуляторов,,,,https://hh.ru/vacancy/50155070?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,hh.ru,Группа компаний Астра,Санкт-Петербург
289,"Ведущий разработчик, техлид",,220000.0,руб.,https://hh.ru/vacancy/55372625?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,hh.ru,Светлые головы,"Санкт-Петербург, Бухарестская"
290,Разработчик Tableau,,,,https://hh.ru/vacancy/67137905?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,hh.ru,ООО АРХПЛЕЙ Девелопмент,Москва
291,Разработчик БД [id114128],,,,https://hh.ru/vacancy/67456675?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,hh.ru,ПАО «Газпром нефть»,"Санкт-Петербург, Чернышевская"
292,ML-python разработчик,,,,https://hh.ru/vacancy/67292166?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,hh.ru,ООО Норд Клан,Санкт-Петербург
293,ML-python разработчик,,,,https://hh.ru/vacancy/67292086?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,hh.ru,ООО Норд Клан,Ульяновск
294,Backend-разработчик (Python),30000.0,70000.0,руб.,https://hh.ru/vacancy/66930680?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,hh.ru,ООО Онлайн Страхование,"Новосибирск, Октябрьская и еще 1 "
295,Стажер-разработчик PHP,10000.0,,руб.,https://hh.ru/vacancy/67368817?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,hh.ru,FrameWork Team,Ульяновск
296,Разработчик Python (Human-in-the-loop),,,,https://hh.ru/vacancy/67400399?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,hh.ru,Сбер. IT,Москва
297,Senior разработчик ПО на Golang (SberInfra),,,,https://hh.ru/vacancy/66640733?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,hh.ru,Сбер. IT,Москва
