,Vacancy,Salary min,Salary max,Currency,Link,Site,Employer,Place
114,Машинист автокрана/крана манипулятора,,,,https://hh.ru/vacancy/66865734?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,ООО Воздвижение,Москва
115,Машинист экскаватора-погрузчика Komatsu,80000.0,110000.0,руб.,https://hh.ru/vacancy/67449446?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,Энергетическое Строительство,Москва
116,Машинист автокрана,50000.0,110000.0,руб.,https://hh.ru/vacancy/67403445?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,ЗАО УВН Техника,Москва
117,Машинист погрузчика Bobcat,60000.0,90000.0,руб.,https://hh.ru/vacancy/67032644?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,ООО ЭЛТОС,Москва
118,Машинист буровой установки (МБУ),,,,https://hh.ru/vacancy/67461790?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,ООО Синтеко,Москва
119,Машинист экскаватора-погрузчика JCB 3cx,,,,https://hh.ru/vacancy/66658720?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,ООО ГорИнжСтрой,Москва
120,Машинист бульдозера,70000.0,130000.0,руб.,https://hh.ru/vacancy/67398627?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,ООО Гк МСР,Москва
121,Машинист экскаватора (строительство),,,,https://hh.ru/vacancy/66698447?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,ООО БУРИНЖСТРОЙ,Москва
122,Машинист экскаватора/погрузчика,,,,https://hh.ru/vacancy/66809778?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,ООО Антей-СтройИнвест,Москва
123,Машинист(крановщик) башенного крана,60000.0,110000.0,руб.,https://hh.ru/vacancy/54629909?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,ЛСР. Краны – Северо-Запад,Москва
